SNPnames	Corr.All	FST.All	s_high	demog	p.end	SNPIncluded	He.LS	He_samp	log.bf	rho	xtx	xtx.empP	bf.empP	rho.empP	TW.Zscore	TW.MinusLogP	TW.P
1364540502_409	0.060097101	0.023008452	0	1R	0.55667637	TRUE	0.493575578	0.488073457	-1.187848998	-0.034462	91.196	0.29979798	0.525555556	0.086363636	0.933343	0.455135	0.350643
1364647363_157	0.257837151	0.040434063	0	1R	0.401207142	TRUE	0.480479942	0.467061111	-1.16573193	0.0056042	87.019	0.092121212	0.564444444	0.281616162	0.462624	0.191361	0.643634
1364605912_110	-0.41559322	0.047313602	0	1R	0.9470303	TRUE	0.100327821	0.077821605	-1.302395826	0.023835	94.714	0.537979798	0.228585859	0.418080808	1.3106	0.721263	0.189993
1364645197_863	0.090167107	0.068735768	0	1R	0.538918642	TRUE	0.496970679	0.496340123	-0.645929996	0.056346	108.57	0.967777778	0.918484848	0.679292929	1.49632	0.871053	0.13457
1364630134_710	0.169595048	0.022144154	0	1R	0.445379333	TRUE	0.494033166	0.493194444	-1.293640723	0.0071555	85.068	0.038686869	0.253636364	0.290909091	0.368125	0.147044	0.71278
1364659913_908	0.383825644	0.113834004	0	1R	0.158303632	TRUE	0.266487184	0.236784568	-0.256882375	0.083081	121.64	0.998989899	0.973030303	0.842525253	1.27657	0.695178	0.201754
1364563259_933	0.333869415	0.103550285	0	1R	0.483754267	TRUE	0.499472152	0.499911111	-1.100141211	-0.0078052	117.66	0.997272727	0.657171717	0.196565657	1.52675	0.896797	0.126824
1364677727_135	0.424713983	0.052523584	0	1R	0.721043489	TRUE	0.402279552	0.412730864	-1.228574216	0.015404	94.36	0.516464646	0.436060606	0.348282828	0.470463	0.195163	0.638024
1364540119_147	0.153731919	0.073012181	0	1R	0.111395153	TRUE	0.197972545	0.217916049	-1.30793781	0.026561	89.681	0.212020202	0.21040404	0.437777778	0.408967	0.165857	0.682564
1364592677_389	-0.194313957	0.040807732	0	1R	0.423428716	TRUE	0.488273677	0.497471605	-1.282878952	-0.028725	93.392	0.45020202	0.289393939	0.104444444	1.42796	0.814447	0.153304
1364533523_216	-0.105834015	0.018883658	0	1R	0.865352838	TRUE	0.233034608	0.223727778	-1.349605044	-0.0029801	91.356	0.311111111	0.094545455	0.226969697	1.10211	0.567969	0.270415
1364518893_958	-0.436797393	0.064549521	0	1R	0.151100935	TRUE	0.256538885	0.287303086	-1.315038005	0.072595	89.668	0.211313131	0.18959596	0.787373737	0.640384	0.282394	0.521923
1364645159_462	0.241557749	0.019134277	0	1R	0.7773771	TRUE	0.346123889	0.352997531	-1.039591065	0.04701	86.599	0.078686869	0.72040404	0.607575758	0.560962	0.240466	0.574823
1364603291_696	-0.155277743	0.016580703	0	1R	0.09702799	TRUE	0.175227118	0.191451235	-1.282803986	0.081172	96.509	0.649292929	0.28989899	0.832929293	0.593971	0.257643	0.552532
1364631662_568	-0.129388947	0.023756223	0	1R	0.111548935	TRUE	0.19821154	0.217916049	-1.121437994	0.015388	94.854	0.546161616	0.628080808	0.348080808	0.268742	0.103403	0.788129
1364590490_677	0.10460063	0.078994387	0	1R	0.178421033	TRUE	0.293173936	0.286577778	-1.200962873	0.023149	92.775	0.407373737	0.496464646	0.412525253	0.76539	0.352579	0.444039
1364584133_220	0.286939949	0.037219827	0	1R	0.521725449	TRUE	0.49905601	0.494191975	-1.183016724	0.048783	95.789	0.603939394	0.533737374	0.621010101	0.578106	0.249343	0.563193
1364575933_724	0.226535599	0.071506053	0	1R	0.911938511	TRUE	0.160613326	0.160145679	-1.129613654	-0.083572	91.486	0.31959596	0.615353535	0.011919192	0.870169	0.415433	0.384208
1364654396_365	0.31465079	0.050399296	0	1R	0.20818548	TRUE	0.329688572	0.320666049	-1.210334693	0.095413	94.588	0.530707071	0.475353535	0.892828283	1.63902	0.994783	0.101209
1364509561_512	-0.054326546	0.052845771	0	1R	0.881896245	TRUE	0.208310516	0.206111111	-1.37829416	0.025377	88.053	0.12979798	0.044444444	0.428989899	0.298862	0.116313	0.765045
1364621189_111	-0.241342864	0.046701736	0	1R	0.812310759	TRUE	0.304923979	0.282932716	-1.206042074	0.017639	92.014	0.352727273	0.485151515	0.366464646	0.829825	0.390792	0.406638
1364550007_212	-0.168396606	0.022982025	0	1R	0.796686023	TRUE	0.323954808	0.32	-1.03654274	0.0040039	98.857	0.761414141	0.723030303	0.272626263	0.899425	0.43365	0.368426
1364513096_967	0.267883385	0.039307996	0	1R	0.605524704	TRUE	0.477729074	0.485169753	-1.286559862	0.02454	94.461	0.522525253	0.277777778	0.422929293	0.331156	0.130459	0.740527
1364633080_383	0.117662014	0.049440535	0	1R	0.726378264	TRUE	0.397505763	0.394710494	-1.304886229	-0.0034194	99.301	0.78040404	0.21959596	0.225151515	0.240798	0.0916697	0.809712
1364548830_221	0.174515997	0.020624863	0	1R	0.593532641	TRUE	0.48250329	0.479101235	-1.21539697	0.033281	94.179	0.503333333	0.463737374	0.494646465	0.290645	0.112764	0.771323
1364615230_397	0.057722869	0.032134407	0	1R	0.105382209	TRUE	0.188553599	0.186191975	-1.027584234	0.097049	90.792	0.273636364	0.730505051	0.898282828	0.718334	0.325551	0.472551
1364557228_871	0.293487155	0.037291253	0	1R	0.254990246	TRUE	0.37994044	0.367673457	-1.029829853	0.060251	102.81	0.887878788	0.728383838	0.706666667	0.526076	0.222693	0.598835
1364576957_949	-0.167136362	0.084504727	0	1R	0.490816536	TRUE	0.499831328	0.499821605	-0.920854947	0.084634	100.01	0.809191919	0.809090909	0.850909091	0.33798	0.133489	0.735378
1364606091_683	0.080853376	0.141369988	0	1R	0.1857589	TRUE	0.302505063	0.300147531	-1.034154158	0.033905	105.61	0.937373737	0.725050505	0.498989899	0.42798	0.174791	0.668665
1364551012_697	0.069372874	0.053066322	0	1R	0.257860365	TRUE	0.382736795	0.392661111	-1.22436043	0.039741	100.26	0.819191919	0.444545455	0.548989899	1.23899	0.666859	0.215348
1364566513_411	0.111811469	0.141319451	0	1R	0.834498124	TRUE	0.276222011	0.274804938	0.595881845	0.11213	100	0.808888889	0.998080808	0.942222222	1.09513	0.563107	0.27346
1364514977_610	0.366235108	0.048606984	0	1R	0.772820686	TRUE	0.351137746	0.377762346	-1.28141528	0.024552	95.295	0.573939394	0.293333333	0.423131313	0.126827	0.0462031	0.899077
1364584643_744	0.118220901	0.072245693	0	1R	0.406474861	TRUE	0.482506097	0.486661111	-1.138352102	0.031664	98.607	0.751414141	0.604646465	0.481616162	1.13759	0.59296	0.255294
1364510239_720	0.47988266	0.060116468	0	1R	0.315300729	TRUE	0.431772358	0.43155	-1.33016265	0.0017217	93.669	0.46959596	0.145353535	0.256868687	0.301553	0.11748	0.762993
1364519321_152	0.082109147	0.052971895	0	1R	0.806651817	TRUE	0.311929326	0.32595	-0.81169037	0.07367	86.513	0.075757576	0.863737374	0.792929293	0.59352	0.257406	0.552833
1364604919_638	0.22893544	0.019370451	0	1R	0.758313819	TRUE	0.366547941	0.376661111	-1.350704093	0.020587	89.167	0.182323232	0.091515152	0.391414141	0.364978	0.145616	0.715128
1364572046_492	-0.155282757	0.071989627	0	1R	0.76629487	TRUE	0.358174084	0.327258642	-1.263715074	0.039119	96.027	0.620909091	0.344949495	0.544545455	0.120478	0.0437815	0.904104
1364525227_820	-0.385029256	0.079418439	0	1R	0.814134408	TRUE	0.302639148	0.26728642	-1.337204405	0.029571	99.496	0.788282828	0.124848485	0.464545455	1.09907	0.56585	0.271738
1364519425_997	0.154687222	0.032435347	0	1R	0.660895248	TRUE	0.448225439	0.452293827	-1.124522014	0.013646	88.747	0.16030303	0.623232323	0.335454545	0.678651	0.30333	0.497359
1364485292_121	-0.249268207	0.02231613	0	1R	0.764748933	TRUE	0.359816005	0.364221605	-1.176806262	0.0040956	90.803	0.274646465	0.545757576	0.272828283	1.18291	0.625537	0.236844
1364554606_968	0.273911482	0.049049129	0	1R	0.932485403	TRUE	0.125912752	0.161061111	-1.266883019	0.044342	96.028	0.621010101	0.335757576	0.585252525	0.0586685	0.0208086	0.953216
1364513987_318	0.114749048	0.079207322	0	1R	0.840790132	TRUE	0.267724172	0.295910494	-1.309006968	0.010229	93.545	0.46010101	0.206767677	0.311414141	0.154744	0.0569889	0.877023
1364517798_133	0.165021661	0.040594704	0	1R	0.775661576	TRUE	0.348021391	0.349969753	-1.168386145	0.0045869	92.97	0.421919192	0.56	0.275353535	0.104713	0.0378186	0.916603
1364560754_146	-0.058642977	0.027558771	0	1R	0.413578732	TRUE	0.485062729	0.48875	-1.21481258	0.03164	96.125	0.626969697	0.465151515	0.481212121	0.301465	0.117441	0.76306
1364592523_833	-0.222379471	0.063453529	0	1R	0.317945358	TRUE	0.433712215	0.42088642	-1.148075429	0.081315	92.325	0.375757576	0.590606061	0.833636364	0.284113	0.109957	0.776324
1364543898_131	0.231765379	0.070496921	0	1R	0.848138393	TRUE	0.257599319	0.2952	-1.299356846	0.0059765	89.986	0.225656566	0.235252525	0.283737374	1.12607	0.584799	0.260136
1364571210_506	-0.208171293	0.052832094	0	1R	0.595337885	TRUE	0.481821375	0.47355	-0.052590788	0.063343	101.32	0.853232323	0.984242424	0.727777778	0.879851	0.42143	0.37894
1364633405_242	-0.283714062	0.025269884	0	1R	0.25812198	TRUE	0.382990047	0.368814198	-1.367360525	0.054795	99.658	0.794646465	0.060909091	0.667171717	0.145266	0.0533016	0.884501
1364655794_199	-0.501556366	0.059582429	0	1R	0.712441163	TRUE	0.409737504	0.415493827	-1.256913761	0.028716	94.612	0.532525253	0.364444444	0.458484848	1.33024	0.736506	0.18344
1364593477_899	-0.339780116	0.045128676	0	1R	0.176101398	TRUE	0.290179391	0.297327778	-1.225059895	-0.0285	89.434	0.197272727	0.443232323	0.105555556	0.931512	0.453965	0.351589
1364580945_371	-0.252329599	0.050274204	0	1R	0.251629263	TRUE	0.376623954	0.381577778	-1.094819581	0.10786	92.973	0.422323232	0.663636364	0.932929293	0.63643	0.280258	0.524496
1364569159_440	-0.147242411	0.042958833	0	1R	0.898383023	TRUE	0.182581934	0.144394444	-1.408189937	0.0036158	91.044	0.291111111	0.013030303	0.27	0.613454	0.267947	0.539576
1364569372_888	-0.243842431	0.050696617	0	1R	0.384418636	TRUE	0.473281897	0.480221605	-0.487328942	0.051512	103.72	0.907070707	0.949393939	0.643737374	0.100417	0.0362061	0.920013
1364571019_371	0.05298858	0.055696642	0	1R	0.52607549	TRUE	0.498640138	0.498693827	-1.280179992	0.0014825	105.1	0.930505051	0.296868687	0.254949495	0.677987	0.302962	0.49778
1364514748_362	-0.293152953	0.044653217	0	1R	0.569348825	TRUE	0.490381481	0.486111111	-1.304640924	-0.033064	93.356	0.447373737	0.220707071	0.091616162	0.947299	0.46409	0.343487
1364520675_22	0.281922581	0.026010864	0	1R	0.816827787	TRUE	0.299240307	0.298740123	-1.290128212	-0.059604	83.059	0.014343434	0.265454545	0.034747475	0.393473	0.158659	0.693971
1364582914_897	-0.323942034	0.046408729	0	1R	0.086731361	TRUE	0.158418065	0.185311111	-1.11178118	0.068738	89.742	0.214040404	0.641919192	0.764848485	0.149605	0.0549864	0.881077
1364558206_187	0.442218155	0.050351212	0	1R	0.932254605	TRUE	0.126311912	0.134012346	-1.334587882	-0.023653	90.07	0.23	0.132323232	0.122626263	0.581794	0.251265	0.560706
1364571348_504	0.052602476	0.027460977	0	1R	0.849467927	TRUE	0.255744336	0.258101235	-0.81225373	0.13659	85.918	0.05959596	0.863636364	0.979393939	0.475147	0.197444	0.634682
1364586787_890	0.050949048	0.0846557	0	1R	0.531356623	TRUE	0.498033524	0.498858642	-0.876769223	0.079046	109.81	0.976666667	0.835757576	0.820909091	0.39918	0.161302	0.689761
1364517789_984	-0.446034864	0.088389603	0	1R	0.734501886	TRUE	0.390017731	0.3648	-1.220981028	-0.021798	101.9	0.867171717	0.451616162	0.131616162	1.91521	1.25598	0.0554657
1364587293_639	0.265095516	0.037382327	0	1R	0.701578977	TRUE	0.418731832	0.412730864	-1.318577844	-0.021144	98.114	0.730909091	0.18030303	0.134747475	0.652617	0.289034	0.514003
1364574180_751	-0.345687864	0.022982715	0	1R	0.263170386	TRUE	0.387823468	0.376661111	-1.165789182	0.0078819	87.07	0.093838384	0.564242424	0.295555556	1.70212	1.05192	0.0887322
1364598358_711	0.4186495	0.059343287	0	1R	0.579513885	TRUE	0.487355084	0.496147531	-0.417005381	0.12781	100.7	0.834141414	0.958080808	0.969090909	2.128	1.47708	0.0333368
1364586094_971	0.184604794	0.027400168	0	1R	0.684150962	TRUE	0.432176846	0.404661111	-1.324918554	0.0023258	88.046	0.129292929	0.161919192	0.262020202	0.0614938	0.021835	0.950966
1364594548_420	0.355656892	0.049989702	0	1R	0.292612665	TRUE	0.413980986	0.390071605	-0.864072665	0.046933	106.32	0.946161616	0.841111111	0.606767677	1.2293	0.659634	0.218961
1364587907_128	-0.374845008	0.05504794	0	1R	0.271414437	TRUE	0.395497281	0.400244444	-1.127593133	-0.027745	87.626	0.113232323	0.618787879	0.108888889	1.82619	1.16864	0.0678211
1364573966_75	-0.271363217	0.051870552	0	1R	0.432871957	TRUE	0.490987652	0.497229012	-1.214655926	0.047816	95.696	0.597575758	0.465555556	0.615353535	0.243538	0.0928099	0.807588
1364513200_519	-0.381413659	0.055577478	0	1R	0.336488472	TRUE	0.446527961	0.451604938	-1.311731495	0.038066	97.624	0.707171717	0.198989899	0.536262626	1.02875	0.517704	0.303596
1364640896_25	0.226989795	0.017867588	0	1R	0.153200566	TRUE	0.259460305	0.25577716	-0.910448117	0.085972	87.62	0.113131313	0.816161616	0.856363636	1.04237	0.526893	0.29724
1364649857_59	-0.378721538	0.055040193	0	1R	0.462202837	TRUE	0.497142749	0.499480864	-0.688754879	-0.09917	97.493	0.69989899	0.906464646	0.005858586	1.544	0.911554	0.122587
1364576017_202	0.082950166	0.091284628	0	1R	0.57139908	TRUE	0.489804343	0.48737716	-0.625086763	0.078278	100.91	0.841818182	0.922121212	0.817171717	1.38947	0.783336	0.164689
1364555173_327	0.024850192	0.04735945	0	1R	0.601196561	TRUE	0.479518512	0.472777778	-1.197062163	-0.039621	105.06	0.929393939	0.506262626	0.072828283	0.791159	0.367693	0.428851
1364590171_219	-0.155922229	0.041455554	0	1R	0.691613323	TRUE	0.426568669	0.42088642	-1.341683273	-0.020779	91.109	0.294747475	0.111818182	0.136464646	0.164834	0.0609429	0.869075
1364685007_22	-0.110933498	0.04849065	0	1R	0.223014142	TRUE	0.346557669	0.366527778	-1.269395353	0.035734	94.905	0.548888889	0.327474747	0.515858586	0.304483	0.118752	0.76076
1364574953_518	-0.031417171	0.103075899	0	1R	0.829586123	TRUE	0.282745975	0.277777778	-1.270325052	0.047256	97.951	0.724040404	0.325454545	0.609494949	0.568658	0.244439	0.569588
1364597931_436	0.013125624	0.033211488	0	1R	0.410337478	TRUE	0.483921264	0.483194444	-1.309582398	0.02226	87.538	0.110707071	0.205454545	0.404747475	0.527255	0.223287	0.598017
1364619268_347	0.418916252	0.052573287	0	1R	0.930790618	TRUE	0.128838886	0.134962346	-1.255550543	0.013041	90.973	0.286363636	0.368787879	0.330707071	1.61407	0.972597	0.106513
1364563420_895	0.061087269	0.064477408	0	1R	0.597407162	TRUE	0.481023689	0.474058642	-1.280130323	-0.010706	104.61	0.921010101	0.297272727	0.182626263	0.25075	0.0958215	0.802008
1364510841_825	0.113791891	0.043799819	0	1R	0.400827873	TRUE	0.480329778	0.482369753	-1.008667579	0.082051	97.806	0.716363636	0.745151515	0.837171717	0.302964	0.118092	0.761917
1364519710_190	0.109427816	0.035655471	0	1R	0.245545682	TRUE	0.370506001	0.3648	-1.345409583	0.061747	100.98	0.843838384	0.103838384	0.716666667	1.06985	0.545631	0.284688
1364547968_123	-0.04933538	0.086096387	0	1R	0.389805049	TRUE	0.475714146	0.481095679	-1.08073358	0.097384	96.357	0.640707071	0.678989899	0.89959596	0.623427	0.27327	0.533004
1364566259_727	0.056277043	0.071629464	0	1R	0.915776157	TRUE	0.154260375	0.166527778	-1.365835212	0.001256	98.021	0.726969697	0.063333333	0.253030303	0.459132	0.189674	0.64614
1364528538_535	0.326615362	0.037079688	0	1R	0.479233834	TRUE	0.499137533	0.498577778	-1.25309348	-0.010794	94.908	0.549090909	0.375151515	0.182020202	0.322383	0.126585	0.747163
1364585950_362	0.130987394	0.040730951	0	1R	0.291327121	TRUE	0.412911259	0.4422	-1.008707456	0.030073	90.191	0.237272727	0.745050505	0.468989899	0.128603	0.0468824	0.897672
1364566341_541	0.333959815	0.046401486	0	1R	0.792588645	TRUE	0.328783769	0.334367901	-1.03454429	0.037496	86.503	0.075454545	0.724848485	0.531616162	1.45019	0.832665	0.147006
1364584917_678	-0.161922791	0.06163869	0	1R	0.78098993	TRUE	0.342089318	0.332443827	-1.001496549	0.040529	84.478	0.028282828	0.752121212	0.555151515	0.325267	0.127856	0.744979
1364604436_999	0.245906727	0.037627989	0	1R	0.156795986	TRUE	0.264422009	0.250311111	-0.889679703	0.062546	84.999	0.037373737	0.826767677	0.721717172	1.25862	0.681586	0.208168
1364536821_407	0.256553265	0.030924306	0	1R	0.946662939	TRUE	0.100984438	0.108879012	-1.403721871	-0.0062232	93.184	0.436767677	0.015757576	0.206060606	0.298579	0.11619	0.765261
1364571361_80	0.168245103	0.040857241	0	1R	0.885185704	TRUE	0.203263946	0.181775309	-1.263587561	0.043681	85.24	0.042020202	0.345252525	0.57989899	0.553057	0.236404	0.580224
1364583924_143	-0.205726115	0.074753217	0	1R	0.798915993	TRUE	0.321298459	0.317994444	-1.053518259	0.072015	98.789	0.759191919	0.706868687	0.783838384	0.580858	0.250777	0.561336
1364581073_348	-0.393197013	0.037898936	0	1R	0.125216555	TRUE	0.219074738	0.250311111	-0.71354353	0.093907	86.798	0.084545455	0.90010101	0.887070707	0.891918	0.428947	0.372437
1364553195_530	-0.028093939	0.033337561	0	1R	0.240166976	TRUE	0.3649736	0.358369753	-0.87076139	0.075491	90.551	0.25979798	0.838181818	0.802525253	0.688154	0.308604	0.491356
1364637982_442	0.107813617	0.049370492	0	1R	0.463938064	TRUE	0.497399074	0.49225679	-1.164163631	-0.035222	98.514	0.747474747	0.566969697	0.084040404	0.816427	0.382731	0.414256
1364621946_64	0.050897421	0.077230922	0	1R	0.654584647	TRUE	0.452207174	0.437969753	-1.114966887	0.027199	103.07	0.892323232	0.636767677	0.444444444	1.00706	0.503202	0.313905
1364544623_501	-0.122044783	0.038392189	0	1R	0.174363295	TRUE	0.287921473	0.281466049	-1.295343387	0.074088	92.71	0.402828283	0.248989899	0.794545455	0.45752	0.188896	0.647297
1364593473_442	0.503852772	0.039547184	0	1R	0.749981239	TRUE	0.37501876	0.377212346	-1.318912602	-0.0045943	89.957	0.223939394	0.179393939	0.216767677	1.24813	0.6737	0.211983
1364547384_262	0.396747722	0.030776001	0	1R	0.424294333	TRUE	0.488537304	0.48555	-1.090112493	0.06111	94.159	0.501919192	0.668080808	0.712525253	0.706632	0.318944	0.479795
1364564499_440	-0.246396535	0.054690559	0	1R	0.180449727	TRUE	0.295775247	0.308488272	-0.665023801	0.087188	104.88	0.926060606	0.913535354	0.862222222	0.340929	0.134803	0.733157
1364644207_415	-0.12402746	0.040468369	0	1R	0.811072058	TRUE	0.30646835	0.307110494	-1.402249982	-0.0022194	92.863	0.413232323	0.016969697	0.232424242	0.931273	0.453812	0.351712
1364537715_657	-0.309801287	0.067659051	0	1R	0.652795208	TRUE	0.453307249	0.437969753	-1.309476107	-0.017947	108.8	0.969191919	0.205656566	0.147979798	1.02079	0.512364	0.307352
1364592424_125	0.261312622	0.031609637	0	1R	0.839476783	TRUE	0.269511027	0.260414198	-1.377879272	-0.016877	87.786	0.12010101	0.045050505	0.152626263	0.573881	0.247146	0.566048
1364486674_125	0.212734288	0.065490512	0	1R	0.871278357	TRUE	0.224304764	0.228661111	-1.052703549	0.0043568	85.649	0.051414141	0.707676768	0.273939394	0.373211	0.149359	0.708992
1364579453_382	-0.125126082	0.040729251	0	1R	0.257142846	TRUE	0.382040806	0.387977778	-1.334850704	0.014978	87.894	0.123737374	0.131515152	0.345454545	0.363029	0.144733	0.716583
1364533404_749	-0.182479258	0.059917262	0	1R	0.948442183	TRUE	0.097799217	0.089984568	-1.148277021	0.069208	99.506	0.788585859	0.59	0.767979798	0.292237	0.11345	0.770106
1364502798_240	0.093160508	0.050017594	0	1R	0.857069666	TRUE	0.245002508	0.2408	-0.797157635	0.036999	102.4	0.879292929	0.87010101	0.527373737	0.150488	0.0553299	0.88038
1364582914_80	-0.033402336	0.029906497	0	1R	0.089735056	TRUE	0.163365352	0.1472	-1.369134999	-0.00018274	88.061	0.13	0.057474747	0.244444444	0.43731	0.179216	0.661887
1364614282_252	0.266684358	0.053521359	0	1R	0.536627339	TRUE	0.497316876	0.497777778	-1.109511914	0.03632	94.755	0.53969697	0.645252525	0.520707071	1.03309	0.520621	0.301564
1364566656_714	-0.097958911	0.029415151	0	1R	0.134591115	TRUE	0.232952694	0.243194444	-1.318143947	0.063895	93.449	0.453939394	0.181919192	0.732727273	0.169297	0.0627012	0.865563
1364597417_306	0.234421995	0.040862002	0	1R	0.083413168	TRUE	0.152910823	0.122516049	-1.355847095	0.0027342	95.594	0.592323232	0.081111111	0.265050505	0.456233	0.188276	0.648223
1364589878_899	0.51154545	0.038687586	0	1R	0.516454802	TRUE	0.499458479	0.499108642	-1.247137533	-0.021571	92.419	0.382121212	0.391616162	0.132626263	0.17361	0.064406	0.862172
1364505575_406	0.101845332	0.020215236	0	1R	0.367098114	TRUE	0.464674178	0.462034568	-0.405154605	0.14611	93.655	0.468585859	0.95959596	0.986767677	0.955465	0.469362	0.339343
1364513040_900	0.324087023	0.072102046	0	1R	0.293827464	TRUE	0.414985771	0.393688272	-0.852230954	0.079903	97.558	0.703737374	0.846969697	0.826262626	1.5995	0.959752	0.10971
1364583045_682	-0.095509852	0.071446088	0	1R	0.787047241	TRUE	0.335207763	0.3542	-1.329763427	-0.012016	106.84	0.951818182	0.147171717	0.175454545	1.14449	0.597873	0.252422
1364510011_595	0.481519836	0.058189951	0	1R	0.71512262	TRUE	0.407444517	0.42395	-0.710321879	0.071354	91.709	0.334949495	0.901212121	0.779292929	0.514154	0.216708	0.607145
1364529378_186	-0.134773868	0.039317349	0	1R	0.507732495	TRUE	0.499880417	0.499327778	-1.25506583	-0.035927	102.76	0.887070707	0.36979798	0.082323232	1.23871	0.666644	0.215455
1364581153_84	-0.159627697	0.043480813	0	1R	0.272058253	TRUE	0.39608512	0.39875	-1.083140899	0.046887	95.251	0.571515152	0.676262626	0.606565657	0.100138	0.0361014	0.920235
1364533253_743	-0.047238441	0.020239294	0	1R	0.36666272	TRUE	0.46444234	0.462947531	-0.842996803	0.098157	82.422	0.01	0.85	0.903535354	0.843886	0.399318	0.398733
1364506172_132	-0.196629445	0.04255761	0	1R	0.913365843	TRUE	0.158257359	0.15462716	-1.364576576	0.015591	86.05	0.063030303	0.065757576	0.35	0.385203	0.154848	0.700087
1364597958_472	0.376285385	0.032550168	0	1R	0.564418351	TRUE	0.491700552	0.489727778	-0.943552542	0.080441	88.753	0.160909091	0.793939394	0.828989899	1.25745	0.680706	0.20859
1364587658_437	0.151677601	0.024054172	0	1R	0.523223166	TRUE	0.498921369	0.499480864	-1.167037869	0.010678	97.391	0.695454545	0.562727273	0.315151515	0.319044	0.125117	0.749693
1364537924_198	-0.02543936	0.028778632	0	1R	0.159146491	TRUE	0.267637771	0.255	-1.176304116	0.057173	89.163	0.182121212	0.547272727	0.686666667	0.308637	0.120561	0.757598
1364506910_268	-0.40267831	0.106942926	0	1R	0.118198085	TRUE	0.208454595	0.222073457	-1.293606566	0.065531	96.875	0.671010101	0.253838384	0.745151515	1.10701	0.571393	0.268292
1364515330_449	-0.386494986	0.04902954	0	1R	0.791856388	TRUE	0.329639698	0.318664198	-1.280469845	-0.01997	91.211	0.301111111	0.296060606	0.14020202	2.45887	1.85581	0.0139375
1364649745_433	0.080685917	0.068874738	0	1R	0.167691341	TRUE	0.27914191	0.282932716	-1.283020591	0.060335	90.394	0.24969697	0.288787879	0.707272727	0.139494	0.0510688	0.88906
1364532818_847	-0.144928617	0.037692155	0	1R	0.507870843	TRUE	0.4998761	0.499012346	-0.346411261	0.072895	87.525	0.11020202	0.964646465	0.788989899	0.14333	0.0525519	0.886029
1364517794_460	-0.438920169	0.102092122	0	1R	0.712293808	TRUE	0.409862678	0.394710494	-1.29030613	-0.024689	97.618	0.706868687	0.264242424	0.118282828	1.92997	1.27075	0.0536107
1364595532_857	0.335826888	0.121335308	0	1R	0.684042034	TRUE	0.432257059	0.433184568	-0.268161527	0.070603	104.42	0.918383838	0.972121212	0.775353535	2.15928	1.51105	0.0308283
1364587364_369	-0.254048907	0.043723398	0	1R	0.177384795	TRUE	0.29183886	0.308488272	-1.160534523	0.026256	91.48	0.319191919	0.572323232	0.434747475	0.326741	0.128507	0.743863
1364589657_84	0.305555167	0.035693905	0	1R	0.248388905	TRUE	0.373383714	0.376661111	-1.276913923	0.026297	95.492	0.586363636	0.305656566	0.435252525	1.44921	0.831862	0.147278
1364519893_159	0.146277742	0.0263233	0	1R	0.934274946	TRUE	0.122810543	0.123480864	-1.355138155	-0.0032614	92.12	0.360909091	0.082121212	0.225858586	0.473069	0.196431	0.636164
1364525827_115	-0.534054941	0.048673079	0	1R	0.331187196	TRUE	0.443004474	0.450911111	-1.184993718	0.033512	99.538	0.79010101	0.530808081	0.495959596	1.21049	0.645718	0.22609
1364514796_578	0.037123796	0.078212525	0	1R	0.449211539	TRUE	0.494841064	0.495	-0.449013822	0.071921	98.145	0.732222222	0.955353535	0.783232323	0.391097	0.157562	0.695726
1364548939_334	-0.332883429	0.050548342	0	1R	0.230564853	TRUE	0.354809403	0.361311111	-1.33351946	0.059407	94.875	0.547171717	0.134949495	0.701616162	1.42137	0.809079	0.155211
1364590405_355	-0.187165435	0.05812012	0	1R	0.242226279	TRUE	0.367105417	0.376108642	-1.19588784	0.032373	91.683	0.332727273	0.509090909	0.487070707	0.608625	0.265381	0.542773
1364608768_166	0.379318258	0.025986151	0	1R	0.068507711	TRUE	0.127628809	0.115727778	-1.422324411	-0.052603	97.398	0.696161616	0.006666667	0.046262626	0.33766	0.133347	0.735619
1364675041_505	0.477650264	0.034931586	0	1R	0.845937526	TRUE	0.260654457	0.269554938	-1.272629567	-0.046951	88.993	0.172929293	0.318080808	0.057676768	1.48704	0.863262	0.137006
1364504363_781	-0.152011911	0.035419133	0	1R	0.087784479	TRUE	0.160156728	0.167434568	-1.423290174	0.021148	93.17	0.435858586	0.006161616	0.396161616	0.676281	0.302019	0.498862
1364672128_899	0.101431826	0.072029465	0	1R	0.793357672	TRUE	0.327882552	0.313271605	-1.280014449	0.034378	95.923	0.614242424	0.298080808	0.503838384	0.346387	0.137241	0.729052
1364660833_859	0.102375005	0.075954704	0	1R	0.160756993	TRUE	0.269828365	0.266527778	-1.369470429	-0.03962	96.095	0.624949495	0.056969697	0.072929293	0.653929	0.289749	0.513158
1364593368_496	0.383845189	0.077220776	0	1R	0.354645661	TRUE	0.457744232	0.460175309	-0.575559412	0.019736	106.01	0.942121212	0.931515152	0.382626263	1.52104	0.891944	0.12825
1364541890_355	-0.099678816	0.025505456	0	1R	0.40600654	TRUE	0.482330459	0.481738272	-1.325680918	-0.033126	92.167	0.364646465	0.16	0.091313131	0.076159	0.0271991	0.939293
1364522532_61	-0.020749575	0.059631592	0	1R	0.886760157	TRUE	0.200833163	0.196666049	-1.091933392	0.042621	95.998	0.618989899	0.666464646	0.572121212	0.783272	0.363044	0.433467
